[2023-10-10T09:52:53Z INFO ] loading target linux/amd64...
[2023-10-10T09:52:54Z INFO ] loading extra relations...
[2023-10-10T09:52:54Z INFO ] pre-booting one vm...
[2023-10-10T09:53:05Z INFO ] boot cost around 10s
[2023-10-10T09:53:05Z INFO ] detecting features...
[2023-10-10T09:53:05Z INFO ] code coverage               : enabled
[2023-10-10T09:53:05Z INFO ] setuid sandbox              : enabled
[2023-10-10T09:53:05Z INFO ] Android sandbox             : enabled
[2023-10-10T09:53:05Z INFO ] net device setup            : enabled
[2023-10-10T09:53:05Z INFO ] pre-setup one executor...
[2023-10-10T09:53:07Z INFO ] ok, fuzzer-0 should be ready
[2023-10-10T09:53:07Z INFO ] fuzzer-0: online
[2023-10-10T09:59:27Z INFO ] exec: 24154, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40613/41671, corpus: 1488
[2023-10-10T09:59:37Z INFO ] exec: 24764, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40680/41722, corpus: 1500
[2023-10-10T09:59:47Z INFO ] exec: 24939, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40710/41749, corpus: 1507
[2023-10-10T09:59:57Z INFO ] exec: 25393, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40787/41839, corpus: 1527
[2023-10-10T10:00:07Z INFO ] exec: 25824, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40866/41927, corpus: 1542
[2023-10-10T10:00:17Z INFO ] exec: 26236, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40951/42020, corpus: 1560
[2023-10-10T10:00:27Z INFO ] exec: 26867, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41318/42419, corpus: 1584
[2023-10-10T10:00:37Z INFO ] exec: 27120, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41413/42548, corpus: 1595
[2023-10-10T10:00:47Z INFO ] exec: 27450, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41566/42689, corpus: 1605
[2023-10-10T10:00:57Z INFO ] exec: 27889, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 41710/42841, corpus: 1623
[2023-10-10T10:01:07Z INFO ] exec: 28231, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42405/43507, corpus: 1637
[2023-10-10T10:01:17Z INFO ] exec: 28836, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42460/43574, corpus: 1652
[2023-10-10T10:01:27Z INFO ] exec: 29096, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42593/43717, corpus: 1661
[2023-10-10T10:01:37Z INFO ] exec: 29345, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 42647/43772, corpus: 1671
[2023-10-10T10:01:47Z INFO ] exec: 30594, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43243/44455, corpus: 1705
[2023-10-10T10:01:57Z INFO ] exec: 31141, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43400/44562, corpus: 1719
[2023-10-10T10:02:07Z INFO ] exec: 31620, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43614/44722, corpus: 1732
[2023-10-10T10:02:17Z INFO ] exec: 32041, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43698/44820, corpus: 1735
[2023-10-10T10:02:27Z INFO ] exec: 32627, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43731/44841, corpus: 1740
[2023-10-10T10:02:37Z INFO ] exec: 33025, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43803/44911, corpus: 1752
[2023-10-10T10:02:47Z INFO ] exec: 33350, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43896/45009, corpus: 1763
[2023-10-10T10:02:57Z INFO ] exec: 33936, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 43992/45204, corpus: 1778
[2023-10-10T10:03:07Z INFO ] exec: 34586, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 44850/46075, corpus: 1795
[2023-10-10T10:03:17Z INFO ] exec: 35269, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 44996/46236, corpus: 1819
[2023-10-10T10:03:27Z INFO ] exec: 36254, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45531/46809, corpus: 1854
[2023-10-10T10:03:37Z INFO ] exec: 36412, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45540/46859, corpus: 1858
[2023-10-10T10:03:47Z INFO ] exec: 36467, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45544/46864, corpus: 1859
[2023-10-10T10:03:57Z INFO ] exec: 36716, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45600/46939, corpus: 1867
[2023-10-10T10:04:07Z INFO ] exec: 37329, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 45756/47100, corpus: 1887
[2023-10-10T10:04:17Z INFO ] exec: 38174, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46238/47694, corpus: 1916
[2023-10-10T10:04:27Z INFO ] exec: 38648, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46368/47858, corpus: 1934
[2023-10-10T10:04:37Z INFO ] exec: 39723, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46473/47955, corpus: 1948
[2023-10-10T10:04:47Z INFO ] exec: 40075, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46509/47999, corpus: 1959
[2023-10-10T10:04:57Z INFO ] exec: 40735, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 46724/48228, corpus: 1980
[2023-10-10T10:05:07Z INFO ] exec: 41266, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47058/48574, corpus: 1998
[2023-10-10T10:05:17Z INFO ] exec: 41702, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47269/48784, corpus: 2017
[2023-10-10T10:05:27Z INFO ] exec: 42329, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47431/48958, corpus: 2036
[2023-10-10T10:05:37Z INFO ] exec: 43296, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47514/49095, corpus: 2058
[2023-10-10T10:05:47Z INFO ] exec: 43784, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47795/49377, corpus: 2063
[2023-10-10T10:05:57Z INFO ] exec: 43995, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47817/49405, corpus: 2067
[2023-10-10T10:06:07Z INFO ] exec: 44090, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47823/49411, corpus: 2069
[2023-10-10T10:06:17Z INFO ] exec: 44390, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 47851/49441, corpus: 2075
[2023-10-10T10:06:27Z INFO ] exec: 44815, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48033/49641, corpus: 2085
[2023-10-10T10:06:37Z INFO ] exec: 45043, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48033/49641, corpus: 2085
[2023-10-10T10:06:47Z INFO ] exec: 45044, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48033/49641, corpus: 2085
[2023-10-10T10:06:57Z INFO ] exec: 45276, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48072/49684, corpus: 2092
[2023-10-10T10:07:07Z INFO ] exec: 45780, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48154/49777, corpus: 2106
[2023-10-10T10:07:17Z INFO ] exec: 47604, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48190/49828, corpus: 2120
[2023-10-10T10:07:27Z INFO ] exec: 48118, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48289/49952, corpus: 2134
[2023-10-10T10:07:37Z INFO ] exec: 48277, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48299/49998, corpus: 2137
[2023-10-10T10:07:47Z INFO ] exec: 48727, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48365/50806, corpus: 2148
[2023-10-10T10:07:57Z INFO ] exec: 49067, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48517/50964, corpus: 2159
[2023-10-10T10:08:07Z INFO ] exec: 49431, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48609/51060, corpus: 2167
[2023-10-10T10:08:17Z INFO ] exec: 50020, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48736/51202, corpus: 2185
[2023-10-10T10:08:27Z INFO ] exec: 50754, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 48946/51428, corpus: 2205
[2023-10-10T10:08:37Z INFO ] exec: 51175, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49117/51609, corpus: 2218
[2023-10-10T10:08:47Z INFO ] exec: 51291, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49131/51629, corpus: 2220
[2023-10-10T10:08:57Z INFO ] exec: 51593, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49184/51683, corpus: 2229
[2023-10-10T10:09:07Z INFO ] exec: 51811, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49227/51730, corpus: 2236
[2023-10-10T10:09:17Z INFO ] exec: 52241, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49333/51907, corpus: 2251
[2023-10-10T10:09:27Z INFO ] exec: 52481, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49453/51949, corpus: 2257
[2023-10-10T10:09:37Z INFO ] exec: 52906, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49515/52012, corpus: 2268
[2023-10-10T10:09:47Z INFO ] exec: 52906, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49515/52012, corpus: 2268
[2023-10-10T10:09:57Z INFO ] exec: 53029, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49516/52014, corpus: 2269
[2023-10-10T10:10:07Z INFO ] exec: 53448, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49589/52090, corpus: 2283
[2023-10-10T10:10:17Z INFO ] exec: 54011, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49753/52288, corpus: 2290
[2023-10-10T10:10:27Z INFO ] exec: 54343, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49853/52393, corpus: 2302
[2023-10-10T10:10:37Z INFO ] exec: 54704, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49941/52482, corpus: 2318
[2023-10-10T10:10:47Z INFO ] exec: 55098, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 49972/52744, corpus: 2326
[2023-10-10T10:10:57Z INFO ] exec: 55527, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50051/52849, corpus: 2336
[2023-10-10T10:11:07Z INFO ] exec: 56205, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50482/53057, corpus: 2357
[2023-10-10T10:11:17Z INFO ] exec: 56976, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 50580/53160, corpus: 2376
[2023-10-10T10:11:27Z INFO ] exec: 57620, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 51104/53523, corpus: 2390
