[2023-10-18T03:57:21Z INFO ] exec: 23994, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39594/40613, corpus: 1382
[2023-10-18T03:57:31Z INFO ] exec: 24440, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39715/40744, corpus: 1400
[2023-10-18T03:57:41Z INFO ] exec: 24707, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39739/40787, corpus: 1406
[2023-10-18T03:57:51Z INFO ] exec: 25183, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39916/40968, corpus: 1431
[2023-10-18T03:58:01Z INFO ] exec: 25702, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40012/41068, corpus: 1447
[2023-10-18T03:58:11Z INFO ] exec: 26888, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40120/41205, corpus: 1459
[2023-10-18T03:58:21Z INFO ] exec: 27378, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40246/41337, corpus: 1478
[2023-10-18T03:58:31Z INFO ] exec: 27384, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40246/41337, corpus: 1478
[2023-10-18T03:58:41Z INFO ] exec: 27593, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40275/41381, corpus: 1486
[2023-10-18T03:58:51Z INFO ] exec: 27993, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40310/41420, corpus: 1496
[2023-10-18T03:59:01Z INFO ] exec: 28052, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40340/41455, corpus: 1498
[2023-10-18T03:59:11Z INFO ] exec: 28347, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40398/41512, corpus: 1509
[2023-10-18T03:59:21Z INFO ] exec: 29116, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40546/41663, corpus: 1523
