[2023-10-17T13:01:56Z INFO ] loading target linux/amd64...
[2023-10-17T13:01:57Z INFO ] pre-booting one vm...
[2023-10-17T13:02:08Z INFO ] boot cost around 10s
[2023-10-17T13:02:08Z INFO ] detecting features...
[2023-10-17T13:02:08Z INFO ] code coverage               : enabled
[2023-10-17T13:02:08Z INFO ] setuid sandbox              : enabled
[2023-10-17T13:02:08Z INFO ] Android sandbox             : enabled
[2023-10-17T13:02:08Z INFO ] net device setup            : enabled
[2023-10-17T13:02:08Z INFO ] pre-setup one executor...
[2023-10-17T13:02:10Z INFO ] ok, fuzzer-0 should be ready
[2023-10-17T13:02:10Z INFO ] fuzzer-0: online
[2023-10-17T13:08:40Z INFO ] exec: 19392, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36229/37210, corpus: 1293
[2023-10-17T13:08:50Z INFO ] exec: 19673, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36274/37268, corpus: 1302
[2023-10-17T13:09:00Z INFO ] exec: 20118, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36459/37460, corpus: 1323
[2023-10-17T13:09:10Z INFO ] exec: 20666, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36766/37774, corpus: 1351
[2023-10-17T13:09:20Z INFO ] exec: 21255, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39515/40486, corpus: 1383
[2023-10-17T13:09:30Z INFO ] exec: 21391, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39554/40538, corpus: 1388
[2023-10-17T13:09:40Z INFO ] exec: 21566, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39584/40562, corpus: 1395
[2023-10-17T13:09:50Z INFO ] exec: 21688, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39604/40584, corpus: 1401
[2023-10-17T13:10:00Z INFO ] exec: 22805, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39795/40798, corpus: 1414
[2023-10-17T13:10:10Z INFO ] exec: 23000, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39909/40920, corpus: 1421
[2023-10-17T13:10:20Z INFO ] exec: 23557, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40143/41162, corpus: 1431
[2023-10-17T13:10:30Z INFO ] exec: 23888, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 40324/41396, corpus: 1449
